127.0.0.1, 2013-09-03 01:25:37, GET, /, HTTP/1.1, 303, 0.000656
127.0.0.1, 2013-09-03 01:25:38, GET, /welcome/default/index, HTTP/1.1, 200, 1.498089
127.0.0.1, 2013-09-03 01:25:38, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000504
127.0.0.1, 2013-09-03 01:25:38, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000397
127.0.0.1, 2013-09-03 01:25:38, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000797
127.0.0.1, 2013-09-03 01:25:38, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000452
127.0.0.1, 2013-09-03 01:25:38, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003821
127.0.0.1, 2013-09-03 01:25:38, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001530
127.0.0.1, 2013-09-03 01:25:38, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001121
127.0.0.1, 2013-09-03 01:25:38, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001290
127.0.0.1, 2013-09-03 01:25:38, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002806
127.0.0.1, 2013-09-03 01:25:38, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000873
127.0.0.1, 2013-09-03 01:25:38, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000750
127.0.0.1, 2013-09-03 01:25:38, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000601
127.0.0.1, 2013-09-03 01:25:39, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000494
127.0.0.1, 2013-09-03 01:25:39, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000267
127.0.0.1, 2013-09-03 01:25:39, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000324
